ching chang chong ching chang chong ching chang chong ching chang chong ching chang chong ching chang chong ching chang chong ching chang chong ching chang chong ching chang chong ching chang chong ching chang chong ching chang chong ching chang chong ching chong ching chong  ;7/17/2019;mmamasito
ching chong hahaha  ;12/7/2019;jessanfei
Ching Chong man his way to make dog sushi  ;2/21/2015;brittanydewit20
I wasn’t saying ching chong in a racist way, I was saying 清冲, which is Chinese for... uh...  ;6/29/2020;gayanimedad
I hate #chingchong, #chinese and #china, so I tweet this 🤣  ;10/2/2016;haruzatoharu
Ching chong quote  ;6/10/2021;rezvolf
Some chinese men out there looking like the most unfuckable chingchong also has no self awareness lmao  ;5/4/2019;redt0ken
Corona china covid chinese ching chong , bọn mị chou bán nước , nếu được thêm luật thì xin phép tử hình hoặc trục xuất bọn nó ra khỏi lãnh thổ VIỆT NAM  , chúng tôi không cần bọn bán nước theo tàu #saynotoninedashline_LiuYu  https://t.co/zgKJbWETl0;12/15/2015;phmbnhlinh1
Hahahahahahahahahahahahahaha Ching Chong I win u ling long  ;8/7/2017;beevo15
CHING CHONG ASS BACKWATER COUNTRY AJDHSHDHAHHA WHAT THE FUCK IS THAT PLS EXPLAIN TO ME LIKE IM 5 🤣;4/23/2018;milezaharries
this is who was calling chinese ppl ching chong;6/21/2019;afanof33
Maaan I so hate Chingchong government 😤 They have built big structures on 7 islands in West Philippines Sea when it's clear that it's under Philippine zone. Mang aangkin ang mga leche. qiqil acu;8/8/2020;xhanb4ek
So...question: Are black people going to join the whites and give up the asians in exchange? Or it's fuck-whitey and ching-chong unilaterally? Where do the eses stand in all this?  ;9/19/2020;queensdadnyc
Speak English! screamed with glee. eyes dancing with sick disdain. Kung Flu! hatred is contagious CHING CHONG CHOW CHING Your name sounds like metal pans crashing on the ground. Where are you from? What’s Your Christian name? What’s Your American name? Where are you really from?  https://t.co/nAPVEuOWhv;3/15/2017;ayoungsinja
everyone say hello to my new follower! CHING CHONG CHONG CHING CHING MY EYES SO SLANT  ;5/16/2016;callmecarsonbi1
Ching Chong has corona virus  ;6/30/2020;beachbrother1
China, the most hated country in the world 🤬 #chingchong  ;12/2/2021;nyinyix
Fuck China. You ching chong motherfuckers 🖕🖕🖕🖕🖕 dickheads.  ;10/12/2021;actionmanxvi
Sorry i don't speak ching chong  ;1/29/2018;basedaurelian
Ching Chong pong? ping pong!  ;1/18/2019;iwhassan97
Republic of Ching Chong  ;10/26/2021;pektusinmo
When suka ching chong man changed into hilbert man  ;3/5/2014;jakexxtwiter
Ching chong motherfuxker  ;3/15/2020;ryok86573229
Real ching chong;2/22/2018;pam37686108
chingchong linglong  ;4/13/2019;indierocklouist
chingchong eyes;8/19/2021;colettenaray
Hey Ching Chong how are you today?  ;12/13/2015;attorney1970
Close your greedy mouth, you fvckin cHiNg cHonG                                                #VIETNAMINDEPENDENCEDAY .               #HoangSaTruongSabelongtoVietNam     #SpratlyandParacelIslandsBelongToVietNam  ;3/8/2019;duke31385093
Hold my beer ching chong  ;4/15/2019;duke31385093
Yeet! Ching chong walawala bingbong  ;1/5/2020;memefess
ching chong  ;3/1/2016;adriangarcii
This Ching Chong bastard ate my future dog☠️;12/3/2015;shitpostingpen1
China dog ching chong  ;10/1/2016;maggus_the_iv
Destroy Ching Chong obnoxious virus spreader  ;3/30/2014;yamakih1
Cheap CN girl，chingchong，冲尼玛币，吃屎去吧  ;8/26/2016;lovetrain2333
I don't use either terms. I call it The Kung Flu or The Ching Chong Virus  ;1/30/2018;flesheater1701
Ching Chong China 🏌;12/19/2016;iamwanda__
chingchong  ;11/29/2019;chichiiiiiiiiie
" ""Ching Chong ka mahaul hai"" @globaltimesnews you should hire this Rubbish Guy.  ";9/26/2018;hinduoffensive
Ikay chingchong virus..  ;3/9/2015;kriamjung21
Shut up Ching Chong.  ;4/11/2014;bronxkampaku
The nation whith no ethics and morals. If the world doesn't understand these ching chong tiny eyes now ... it will be late. #IndiaChinaFaceOff  ;1/16/2018;sushil_sappya
Girl have you been to China?  Just the way you whining is making me speak ching chong  #EWALLET;9/16/2019;madvee_98
Ching Chong language.;8/15/2017;wgovne
Ching Chong Virus is so Annoying from Ching Chong Land with HaChing HaChong by MinChing Bats.;11/16/2015;rokujikan
Ching chong everywhere;4/8/2019;_kgon
chingchong;1/8/2020;irisvllnv0104
