Niggas really be whores out here smh;tdudxcam;11/26/2020
Wishing I had a slut to show my big thick cock to its sooo hard rn #slut #horny #hypnotize #bbc #bwc #rape #mindbroken #rp #whore #snowbunny #dirtyrp #lewdrp;johm56337325;11/24/2017
close your legs you WHORE;lmperil;10/30/2017
i do like you. are you a whore of him or something? what do you have to offer to your king?;sukunasservant;8/5/2018
Especially the slutty owl dad and the spider whore, among others.🥰;foxjmccloud;11/11/2021
whore;thatssharakiri;12/10/2014
oh yeah? that's what i thought you'd say, you whore.;kirakurata;10/19/2016
peep my pinned tweet to see a slut suck my dick during class #slut #porn #blowjob #cumslut #sex #sexy #pussy #horny #jailbait #teen #hoe #whore #ass #tits #nsfw #naughty #hot #young #jackoff #body #thick #expose #cock #dick #wet #girl #wild #anal #oral #facial;jajeryy;11/25/2014
hello whores;lovet0dre4m;9/7/2018
whores...all of them;carolinreapee;3/24/2016
Punk ass whores;24jazmen;1/22/2018
Shady ass whores 🥰;kaycreationss;2/9/2018
Sorry buddy but your gfs a whore;fatboy__slim;6/16/2018
If you got an abortion and that’s why you don’t have kids then that’s fine to whore;thug_lifeexx;3/10/2017
Ohh what a great whore😋;carambina1;5/15/2016
Text me back whore;cassandra__r;9/27/2021
I only fuck w whores I’m toxic;_beemcnastii;4/22/2014
i’m literally going to block these whores ur so annoying. i asked a genuine fucking question;namjdiet;9/16/2017
Can’t make a husband out of a whore;demisaenz4;11/9/2020
went from simp to whore i cant believe this;iovingganyu;4/1/2014
need a cute needy innocent girl to slowly transition into being a needy bimbo whore for me;urprtyboibf;7/17/2020
I only fuck with whores I’m toxic;hugogetbandz;5/12/2019
What a whore;carissaacakes;11/15/2014
do u ever have the urge 2 just call someone a ugly annoying whore bc ik i do 👍;fuzzyc0ck;3/9/2015
You’re a whore everyday;strokegod_;6/7/2019
HNNNNNNG CHILDE YOU WHORE 😩;dinotaros;2/13/2017
Millennial whores;rcolleenie;1/18/2020
"""you're my person"" i'm sorry but my soulmate could never be a WHORE .... you forget yourself";_hokuyasu;10/27/2018
The time to unite was in 2016, when in the face of fascism, “progressives” thought it was more important to boo civil rights leaders and call our nominee a corporate whore. You have proven to be unreliable allies.;bigjoos;11/25/2017
White male whores;rcolleenie;1/1/2014
Ima just give up one day, soon and let you easy bitches and whores have what you want to show you how lazy you are! Crazy shit is for crazy people.;beeeazy870;11/29/2017
when did this become a WHORE HOUSE??;jessealordiah;10/18/2016
Hologram whores;rcolleenie;7/12/2016
Whores;j_beeazy;8/14/2014
don’t air me whores;abelttesfayee;9/27/2019
Who ever stole my fan your moms a whore;figueroa_bryaan;2/30/2017
akala ko isa akong vocal whore, sa rapper na magaling gumiling pala ako babagsak, EZAKI HIRAKU, hindi na kita matanggal sa isip ko ms maam aaaaahhhHhHhHHhHH;airagreca;12/12/2021
"*gets a head of steam and heads to the cigar lounge to write* ""I'll just check twitter for a few minutes.""  ""Well....fuck.""  - Sally the itchy whore.";wildbillflint;11/9/2021
Yeah you’re a whore afterwards;dariencromwell;5/8/2015
another whore attack taking out the trash by the trash;vinvsiclare;7/1/2021
mean whore;toniig300;11/8/2016
hay peña con una vibe d attentiom whore q tira patras;pedrodiez97;2/9/2018
I need more whore clothes 😖;_neenzz;5/5/2015
I’m a white men whore;pascaigrande;8/2/2016
yeah? we love to see the whores;spongethemagic;5/6/2017
He don’t know you’re only a whore for Touhou;susciety_;8/9/2015
LOL I don’t understand whore…🙊;margge_;6/9/2014
Morning whores, how’re you serving me today?;goddessangeli12;3/4/2016
